,character,line
20575,Bill," He doesn't need one. You're a hybrid now, right? I mean, you can turn at will or not, am I right?"
20576,Tyler," Yeah, but I don't know how to just...Start"
20577,Bill, Now you're making excuses
20578,Tyler," You don't understand! When I turn, I break every bone in my body"
20579,Bill, You asked for my help. This is the only way. How badly do you want your freedom?
20580,Tyler, Ok. Ok
20581,Elena, How are you holding up?
20582,Bonnie," Oh. I'll be fine. I'm not here to get my mom back, I'm just here to get her help "
20583,Abby," So I hope you guys are hungry. 'Cause, uh, food has always been my go-to icebreaker"
20584,Elena, You have a really beautiful home
20585,Abby, You're so sweet. Just like your mom
20586,Elena, You knew my mom?
20587,Abby, Miranda was my best friend
20588,Bonnie, So you had a daughter and a best friend and you still left?
20589,Abby," My best friend is why I left. 15 years ago, a vampire came to town. Looking for you, Elena. Looking for the doppelganger. No one could manage to k*ll him, so I lured him out of town and cast a spell to desiccate him in a crypt in Charlotte"
20590,Elena, Mikael. He was an original vampire
20591,Abby, It took every ounce of power I had. Almost k*ll me. I recovered. But my magic didn't. My powers never came back
20592,Bonnie, And neither did you
20593,Abby, It wasn't that simple 
20594,Bonnie," It wasn't? You cast a spell, put Michael down, then... What? You had to teach Jamie how to drive?"
20595,Elena, Bonnie... 
20596,Bonnie," This was a mistake. She has no magic, she can't help us "
20597,Abby," Bonnie, wait, please. Don't go. Talk to me. Please?"
20598,Elena, I'll wait outside 
20599,Stefan," Hi, Elena. Nice lake house"
20600,Damon," You know, we never got a chance to officially meet, doctor...Fell"
20601,Meredith," You're Alaric's friend, right? Damon Salvatore. Saw you at the council meeting. What are you doing here? "
20602,Damon, Strolling the halls. I like to wave at the newborns through the window. Sorry about your boyfriend. Animal attack. Brutal
20603,Meredith, Ex-boyfriend. And thanks. I'm still kind of processing
20604,Damon," Yeah, I'm sure. You know, I just thought I'd come by and tell you that it wasn't an animal attack. And then I realized. You signed the death certificate"
20605,Meredith, Would you rather I say he was staked like a vampire?
20606,Damon," Wasn't he the guy that coined the phrase ""animal attack""?"
20607,Meredith, Why do you even care?
20608,Damon," Because Ric likes you. And if you're a psychopath, it would probably really suck for him"
20609,Meredith, You think I k*ll my ex-boyfriend?
20610,Damon, I think psychopaths are incredibly high-maintenance
20611,Meredith," If you care about your friend, go figure out how Alaric came into the icu on his deathbed and walked out an hour later without a scratch"
20612,Damon, Fair enough
20613,Tyler, I can't. I can't
20614,Bill, Try harder
20615,Caroline, Can't he just rest for one second?!
20616,Bill," We're doing this my way, Caroline. If you can't handle it, you should go"
20617,Tyler," He's right, Caroline. Just go"
20618,Tyler," Go, Caroline"
20619,Tyler, What are you doing?
20620,Tyler," What the hell, man?"
20621,Bill, Does it bother you?
20622,Tyler, Knock it off!
20623,Bill, Good. Get angry. It's in you. You know it is
20624,Tyler, I said knock it off!
20625,Bill," Your bond to Klaus is putting my daughter in danger. Now either you turn or I k*ll you right here, right now"
20626,Abby," You've grown into such a beautiful young woman, Bonnie "
20627,Bonnie," Please, just stop with the muffins and the compliments. I just want to know the truth... Why didn't you come home?"
20628,Abby," I had no magic. I was in a new city, and I realized I had a chance to be somebody else. To be Abby Wilson, the woman... Not Abby Bennett, the witch. I'm not proud of what I did, Bonnie. I ran. I know I ran. But you had your dad and your grams, and, ok, let's face it... Your grams is way better at this stuff than I am"
20629,Bonnie, You don't know? 
20630,Abby, What? 
20631,Abby, How?
20632,Bonnie, We were doing a rough spell... And we both exhausted ourselves. Her more than me
20633,Abby," Well, she raised you right. I'm sure she was very proud of you. Well, now you know my whole story"
20634,Bonnie, Yep
20635,Abby, How about you tell me yours? What brings you to me?
20636,Bonnie," It was a dream, actually. I thought you were supposed to help us. But if you don't have any magic, it's..."
20637,Abby," Well, no spells, no. But I'm not completely useless. I mean, the earth still provides herbs and such. There might be something I can do"
20638,Bonnie, I...Don't think so
20639,Abby," Bonnie, please. Let me help you "
20640,Stefan," So what, you'd think I wouldn't find out?"
20641,Elena," Honestly, I didn't care"
20642,Stefan," This is exactly why I didn't want you in the loop, Elena"
20643,Elena," Yeah, because now you can't do whatever you want"
20644,Stefan, Damn it!
20645,Jamie, Hey! Everything all right out here?
20646,Elena," Hey. Jamie, go back inside, ok? Please. Trust me. It's better off for you there"
20647,Jamie, I don't think so
20648,Stefan," I'd listen to her. Get back upstairs, man"
20649,Jamie, I said I don't think so
20650,Stefan," Get back upstairs before I tear your damn throat out, do you understand me?"
20651,Elena, I don't think you realize how bad you've gotten!
20652,Stefan," This is the way it has to be, Elena"
20653,Elena," Oh, yeah, right. Out-villain the villain. I get it"
20654,Jamie, You're not supposed to be here
20655,Elena," Jamie, what are you doing?"
20656,Jamie, What I was told. He's not supposed to be here
20657,Stefan," Elena, he's compelled "
20658,Bonnie, What was that?! 
20659,Alaric, What are you doing here?
20660,Damon," Ah, looking for a bunny. You're good. For now"
20661,Alaric," You still obsessed with Meredith? Ah. I mean, don't you have an original vampire to worry about?"
20662,Damon," Ah, ah, ah, do ten more of those. You're going to want to buff up if you start dating this one. Self defense and all "
20663,Alaric, What is your problem? 
20664,Damon, Your doctor vervained me. And then she bloodjacked me
20665,Alaric," What? I mean, when did you even see her?"
20666,Damon," When I went to the hospital to accuse her of k*ll her ex-boyfriend. Which, by the way, very sensitive subject"
20667,Alaric," Damon, what the hell are you doing, huh?"
20668,Damon, Why are you mad at me? 
20669,Alaric, I told you I'd handle this! 
20670,Damon, I proved your theory... Diagnosed psycho case. You're welcome
20671,Elena, Why are you doing this?
20672,Jamie, Stop moving
20673,Elena," Jamie, let me go. Jamie, he needs help. Jamie!"
20674,Elena, Bonnie! Bonnie!
20675,Bill, Oh my God 
20676,Tyler, These chains aren't strong enough. You need to leave. Run!
20677,Daniel, So?
20678,Abby, She didn't tell me where the coffins are. The vampire showed up
20679,Daniel, Did Jamie take care of him?
20680,Abby, He did. But she's not going to talk now. There's no way. I tried
20681,Daniel," Well, you should try again "
20682,Bonnie, What did you do to me?
20683,Abby, You'll be fine. But don't try and use spells. Those herbs I used muted your magic
20684,Bonnie, Where's Elena?!
20685,Abby," She'll be fine, too. Bonnie, listen to me. I need your help. I need you to tell me where those coffins are"
20686,Bonnie, Why?
20687,Abby," Because if you don't, that man compelled Jamie to k*ll himself"
20688,Bonnie, I can't. This goes beyond you and me
20689,Abby," All you need to do is tell me where they are. Then we'll have held up our end of the bargain. Bonnie, please "
20690,Elena, I've almost got it
20691,Jamie, Abby hasn't called yet
20692,Elena," Jamie, please, just let us go"
20693,Jamie," No! Please, don't do anything. Look, I don't know why I sh*t him. I don't know why I'm holding this g*n, but if you move or do anything, I'm going to sh**t him again"
20694,Elena," Ok, I won't. Who gave you that g*n?"
20695,Jamie," A man came by here earlier today. He said it was wooden buckshot. Told me if anyone got in our way, I'm supposed to sh**t 'em"
20696,Elena, What else did he say? 
20697,Jamie, If Abby didn't find the location of some coffins... I'm supposed to sh**t myself
20698,Elena, What about me? What did he say about me? 
20699,Jamie, I'm not supposed to hurt you
20700,Elena, Are you sure? Because... These ropes are so tight that it is hurting me
20701,Elena, What can I do to help?
20702,Stefan," Every time I move, the wood shifts inside of me. I can feel it scraping against my heart. You need to get the pieces out"
20703,Klaus," What took you so long? Hiding behind your witchy friends. And in squalor, no less "
20704,Damon, Insulting a bunch of dead witches... Not smart. I made the exact same mistake first time I came in here
20705,Klaus," Well, you know the funny thing about the witches is that living or dead, they care about their own. A hundred dead witches have a thousand living descendents... And I have no problem k*ll every last one of them if I don't get my coffins back. As we speak, my hybrid friend is prepared to end the Bennett line. Now. Please... Show me the coffins"
20706,Klaus, Here we are 
20707,Klaus, Where's the fourth? Show me!
20708,Damon," Well, ehh, here's the thing. They can't. It's not here"
20709,Klaus, What did you do?
20710,Damon," Well, Bonnie gave me the head's up. I mean, I didn't have enough time to get all four, but I did have time to get one "
20711,Klaus," I will tear you limb from limb. And only then, when you are a writhing mass of bl*od and flesh, will I rip your heart from your chest"
20712,Damon, Sorry. Same rules apply. Leverage and all. I know you want your family back. But something tells me you want what's in that coffin a lot more 
20713,Alaric, You want to tell me what you're up to?
20714,Meredith, You talked to Damon
20715,Alaric, Yeah i did
20716,Meredith, He wasn't supposed to wake up so soon. I used enough vervain to sedate him for hours
20717,Alaric," Well, he drinks it, every day. To build up an immunity so people like you don't get the jump on him"
20718,Meredith," I'm not crazy, Ric"
20719,Alaric, Really? Then what are you?
20720,Meredith, You really want to know? Stick around
20721,Alaric, Is that bill Forbes? 
20722,Elena, Aaah! I'm just trying to help!
20723,Stefan," Just get it out, Elena, please. Just get it out"
20724,Elena," If you keep squirming, maybe I'll feel sorry for you"
20725,Stefan, You've changed. Something's different about you. You're stronger. Tougher
20726,Elena," You're not the only one who changed, Stefan. We all had to"
20727,Stefan, That's good to know
20728,Elena, There's something I have to tell you. And it's not because I feel guilty that it happened. It's because I feel guilty that you don't know. I kissed Damon
20729,Elena, There. All done
20730,Alaric, What happened to him?
20731,Meredith, He was found in the woods. An actual animal attack. Bite marks and gashes over half his body. Lost about 3 liters of bl*od
20732,Alaric," Well, is he going to make it?"
20733,Meredith, Nope. At least not on his own
20734,Alaric, What is that?
20735,Meredith, Exactly what you think it is. Vampire bl*od. 
20736,Meredith," You wanted to know my secret? I cheat. I'm a doctor and I hate when people die. So when I have the ability to do something about it, I do"
20737,Elena, Stefan... Say something. Please
20738,Stefan," I shouldn't have kidnapped you. The car, the bridge, it was too far"
20739,Elena, Thank you
20740,Stefan," But you shouldn't have lied to me today. You can't go off and do things like that, Elena. Not while Klaus is still alive"
20741,Elena, I know. I just...I wanted to give Bonnie a moment with her mother without everything else getting in the way
20742,Stefan, Without me getting in the way
20743,Elena, I didn't plan on kissing him 
20744,Stefan," You're better than him, Elena. You're better than both of us "
20745,Bonnie," Elena's on her way. Jamie's safe. He's a little bruised, but he's safe"
20746,Abby, Do you think the hybrid will come back? 
20747,Bonnie, You kept your end of the bargain. Klaus usually keeps his. You're willing to do all of this for him... And he's not even your family
20748,Abby," He is my family, Bonnie. I know that might be hard for you to hear, but he is. But that doesn't mean that I don't care about you. I want to help you"
20749,Bonnie, You can't. You have no magic and I don't trust you
20750,Abby," When I put mikael down, my magic didn't just leave me. It drifted away. The longer I stayed away from you, the weaker it got. I think nature was punishing me for abandoning you. Maybe you can help me get my magic back"
20751,Bonnie, I thought you said you didn't want it anymore
20752,Abby, I don't. But if it's what you wanted... I would do that for you 
20753,Tyler, You're better
20754,Bill," Yeah. I shouldn't be, but I didn't have any say in the matter"
20755,Tyler, I didn't mean to hurt you. I lost control. Again
20756,Bill, I knew the risks when I decided to help you. So... Was it worth it? How do you feel?
20757,Tyler, Different. A little more myself
20758,Bill, Then we'll continue tomorrow
20759,Tyler, What are you talking about? I turned
20760,Bill, Once. To break the sire bond. Turning needs to be painless. And from what I saw today... We're still a long way off
20761,Tyler, I can't put myself through that again
20762,Bill," You will. Because until you're capable of acting on your own free will, I'm not going to let you anywhere near my daughter"
20763,Alaric, You told me your secret. This is mine
20764,Meredith, You're a vampire hunter
20765,Alaric," Ah, semi-retired"
20766,Meredith," You're trying to get out of taking me to dinner, aren't you?"
20767,Alaric, Just want to be honest. No secrets
20768,Meredith, Ok. Then tell me how you survived getting hit by a truck. Your injuries were fatal. Was it vampire bl*od?
20769,Alaric," That, and, uh... "
20770,Alaric, This ring protects me from death at the hands of supernatural beings
20771,Meredith, A vampire hunter who can't be k*ll by vampires. Convenient. 
20772,Meredith, Are you worried I'm a supernatural being?
20773,Alaric, One can never be... Too careful
20774,Elena," Oh, um, hey, um. Sorry"
20775,Meredith," Oh, uh, I'm gonna go"
20776,Alaric," Ok, yeah, sure, sure, sure"
20777,Alaric," Elena, I am... I'm sorry"
20778,Elena," Please, it... it's ok"
20779,Alaric," Ah, it's not ok, Elena. I mean, this is not even my place. It's... it's your place. It's Jenna's place. It's your family... It's your family's place"
20780,Elena," The minute that you slept on that couch, it became your place, too. We needed you, and... And you stayed. So thank you for that. Hey, look, I know it's hard. But Jenna's gone. And you're allowed to move on"
20781,Stefan," Oh, you're still alive? I assume that means Klaus didn't get his coffins"
20782,Damon," Well, don't look so happy. I was only able to get one of them out in time. The locked one"
20783,Stefan, Probably a good choice
20784,Damon," Yeah. You know, if you're banking on Bonnie's mama to open it, you're screwed. She doesn't"
20785,Stefan, Ah. Doesn't surprise me. It's been that kind of night
20786,Damon, Is Elena ok? 
20787,Damon, I take it you two had a heart to heart. And I take it you don't want to talk about it. Noted
20788,Damon, So why don't we talk about this?
20789,Stefan, What did you do?
20790,Daniel, You have your family back. Finally. You're going to open them?
20791,Klaus, Not quite yet. I still have some unfinished business to take care of
20792,Daniel, What business?
20793,Elijah," So, Niklaus..."
20794,Klaus, Elijah?
20795,Elijah, What did I miss?
20796,ELIJAH, You look surprised to see me. So it wasn't you that removed the dagger from my chest? 
20797,KLAUS," You look like you could do with a drink. And we have a lot to discuss, so shall we? "
20798,KLAUS," Easy. I just finished renovating. You know you have every right to be mad at me. But I kept my word, I reunited you with our family. "
20799,KLAUS, Don`t make me do this to you again Elijah! 
20800,ELIJAH, Come on. Use it. I dare you. You'll have Kol to deal with. 
20801,KLAUS, Mikael is dead. 
20802,ELIJAH, What did you say? 
20803,KLAUS, I k*ll him. With his own w*apon. He's gone Elijah. Forever. 
20804,ELIJAH," Why do our family remain in these coffins? Finn for over 900 years, Kol for over a century. "
20805,KLAUS," Because of Stefan Salvatore. He holds the one thing keeping me from freeing them. There are things that you do not know about our past, Elijah. Our mother's death. Things I never wanted you to know but I`m ready to tell you now. I only ask that you remember the oath of loyalty you once swore to me. "
20806,ELIJAH, What are you doing? 
20807,KLAUS, Always and forever. I need you to stand by my side. Be my brother. Help me destroy Stefan and I promise you our family will be whole again. 
20808,ELENA, Morning 
20809,ALARIC, Thought we had aspirin. 
20810,ELENA, Yeah in the vitamins. You`re hungover. 
20811,ALARIC," Yeah, sorry about that, it was a bit of a weird night. "
20812,ELENA, I told you you don`t have to feel guilty about inviting Meredith over here. 
20813,ALARIC, Oh I know. And I thank you for that. But I do feel guilty for whiskey dialing her at two in the a.m. 
20814,ELENA, No you didn`t. 
20815,ALARIC," Oh, yes I did. "
20816,ELENA," Oh, was she cool about it? "
20817,ALARIC," Well, as soon as these aspirin kick in and I remember the conversation, I'll let you know. "
20818,ELENA," Sheriff Forbes, hi. Is everything OK? "
20819,LIZ, This is an unconventional conversation we`re about to have. So I hope you`ll protect me on it. 
20820,ALARIC, Of course. 
20821,LIZ, I assume you both heard our medical examiner was m*rder the night of the Wickery Bridge fundraiser. 
20822,ALARIC, Yeah. Brian Walters. Why? 
20823,LIZ, We`ve been investigating. Someone drove this stake through his heart. 
20824,ALARIC, That`s one of ours. I mean this is one of a set from your parents lake house. 
20825,LIZ, That`s why I`m here. I haven`t told anyone but forensics ran it for prints and found only one clean set. 
20826,LIZ, Yours 
20827,ELENA, What? 
20828,DAMON," So you`re the prime suspect, huh? "
20829,ELENA, She doesn`t think that I did it. She`s just tryin` to find out why somebody used one of my family w*apon to k*ll a council member. 
20830,DAMON, Well why don`t you just ask Ric if his dirty little doctor had access to the w*apon. 
20831,ALARIC," You`re on speaker phone, dick. "
20832,DAMON, I`m just sayin` first suspects usually the right one. Don`t get so defensive. 
20833,ALARIC," Brian Walters was k*ll days ago, right? I didn`t show Meredith this stuff until last night! "
20834,ELENA, It wasn`t Meredith. 
20835,DAMON, But Brian Walters was her ex-boyfriend and Ric saw them fighting that night. 
20836,ELENA, It`s not Meredith! Okay? I refuse to believe that your luck with women is that tragic. 
20837,DAMON, Who else knows about your secret little slayer stash? 
20838,ALARIC," Who doesn't? Got w*apon everywhere, here, the school, my loft, your car. "
20839,DAMON," It's Klaus, it has to be, he's screwing with us. "
20840,ELENA," What if it was Stefan? He was crazy that night, and you know he was trying to get underneath Klaus's skin, he was capable of pretty much anything. "
20841,DAMON," Ahh, make's me nostalgic for the time that Stefan was a bunny snacking pacifict, anyway got to go, you'll know more later. "
20842,ALARIC," Hey, where are you? "
20843,DAMON, Tea with an old friend. 
20844,DAMON," Elijah, my favorite original, back from the dead. Clean up nice. "
20845,ELIJAH," You left something, in my jacket pocket. "
20846,DAMON," Oh, yeah. ""Dear Elijah, let's get together, plot the destruction of your brother, XOXO"" "
20847,ELIJAH, Damon. 
20848,DAMON, Was I right to undagger you or are we gonna have a problem? 
20849,ELIJAH," I'm here, let's talk. "
20850,DAMON," I'll start with an easy question, any idea what kind of Klaus k*ll w*apon could be magically sealed in a mystery coffin? "
20851,ABBY, Slow down! 
20852,STEFAN," Keep up, we don't have much time. "
20853,BONNIE," Sorry Stefan, but I didn't have a choice. "
20854,STEFAN," It was a choice Bonnie, you made it and now we have to live with it. You told Klaus where the coffins were and he took them. All of them except this one. "
20855,ABBY, That's the one that's sealed? 
20856,STEFAN, Yep. Fortunately it seems to be the one he cares about most. 
20857,ABBY, Aren't you coming inside? 
20858,STEFAN, Vampires can't get in. Damon had to compelled a couple of Lockwood-Gardeners to bring the coffin in. 
20859,Abby, This is a bad idea. 
20860,Stefan," Look, if you're really the key to opening up that coffin, I think it's a pretty save bet you're on Klaus's hitlist.So I suggest you hideout here and figure out a way to open up the damn thing. "
20861,Abby," I told you, I don't have any powers. "
20862,Stefan," And I don't believe you. The time's ticking. Won't be long, before Klaus calls his hybrids to find that coffin and k*ll all of us. So dig deep, Abby Bennett. Scrape out whatever magic you have left. "
20863,Stefan, What are you doing here? 
20864,Elena, Bonnie told me that you guys would be here. I need to talk to you. 
20865,Stefan," Well, there's nothing to talk about. I'm just focused on getting this coffin open. "
20866,Elena, Did you k*ll the medical examiner? 
20867,Stefan, Why would you think I did that? 
20868,Elena, Maybe because I don't know what you're capable of anymore. 
20869,Stefan," Well, believe what you want, Elena. "
20870,Elena," I don't want to believe any of it, Stefan. "
20871,Stefan, But you had to ask me anyway. 
20872,Elena, Stefan... 
20873,Stefan, Did you ask Damon... if he k*ll anybody lately? 
20874,Meredith, Are you Caroline? 
20875,Caroline," Yes. Dr. Fell, hi. Elena told me you helped out my dad. "
20876,Meredith, I did. Do you think you can get him to be a little more grateful? He spent half the night threatening to get my medical license revoked for saving his life. 
20877,Caroline," Yeah, my dad's a little set in his ways. He spent his whole life hating vampires, so... "
20878,Meredith," So... he's not psyched about it being vampire bl*od that healed him. Yeah, he made that clear. I'm sorry. my bedside manner sucks, on no sleep. "
20879,Caroline," So, can I take him home? "
20880,Meredith," I signed his discharge papers late last night, just to shut him up. "
20881,Caroline," Oh, I... he didn't call or anything. "
20882,Meredith," That's gotta be hard. When your dad hates the one thing you can't change about yourself. I make it my business, to know who the vampires are in this town. Medical curiosity. I don't blab. "
20883,Caroline," Yeah, we've had our ups and downs. "
20884,Meredith, Tell your dad I said you're welcome. 
20885,Caroline, Thanks. 
20886,Elena, That was fast. 
20887,Caroline," Yeah, he's not here. He was already discharged. And she seems perfectly nice by the way... a little intense, maybe. But... I think it's sweet, you wanna make sure Alaric's not dating a total psycho. "
20888,Elena, He's my family. I have to look out for him. What? 
20889,Caroline, I hear it. 
20890,Elena, Hear what? 
20891,Caroline, My dad's phone. 
20892,Caroline, Dad! Dad? 
20893,Elena, Oh my god. 
20894,Caroline," Don't be dead, don't be dead, don't be dead! Oh my god! "
20895,Caroline, Daddy! 
20896,Elena, Caroline... He has vampire bl*od in his system. 
20897,Caroline, What?! 
20898,Bonnie, Is this the only grimoire you kept? 
20899,Abby, It was the only one I needed. So... what is all of this? 
20900,Bonnie," Family history. About a mother, who loved her children so much, she couldn't bear the thought she might lose them. So she turned them into vampires. One of them is Klaus. "
20901,Abby," The one, you're trying to k*ll with whatever is in that coffin? "
20902,Bonnie," There's nothing in here, that's going to help us. I've seen most of these spells. What was this? "
20903,Abby, That was the spell I used to seal Mikael in the tomb. I b*rned it and tried to get it out of my head. Didn't work though. Wait... Do you see this? 
20904,Bonnie, It's a sealing spell. We're trying to open something... Not seal it shut. 
20905,Abby," No. Right here. On this side. It's a bl*od knot. It means, to bind it you need two genarations. A bloodline. Like... two keys to a safety deposit box. "
20906,Bonnie," So... unbinding it, would reverse the spell. Unseal it. If we did it together. "
20907,Damon, Get dressed. We're going out. 
20908,Stefan," Yeah, sorry, not interested. "
20909,Damon, I didn't ask. Elijah and I have scheculed a very old fashion sitdown with you and Klaus. I say go with the black. Makes you look all villainy. 
20910,Stefan," Klaus won't make a deal, Damon. "
20911,Damon, He didn't have to. All we're doing is buying a little time to give our wicked witches a chance to pop-up the top of the coffin. 
20912,Stefan," So, that's your...uh...plan? Stall Klaus? "
20913,Damon, If you didn't go postal on his hybrids then maybe we'd have some options. 
20914,Stefan, So you unleashed an original to help him out? 
20915,Damon," Undaggering Elijah was smart, Stefan. You're kidding me? After what Klaus did to him? He's in vengeance mood. Perfect. "
20916,Stefan," There's nothing smart... about trusting Elijah, Damon. He screwed us over the last time he promised to help us k*ll Klaus. "
20917,Damon," Yeah, the way you've been acting I trust him about as much as I trust you. "
20918,Stefan," Hm. Well I guess that goes both ways, doesn't it? "
20919,Damon," Oh yes this is aboout me kissing Elena. Just remember; if it wasn't for Klaus, you would have never become such a dick and that kiss would never have happened. So get ready and get happy. We're going to negotiate a fake truce and I don't want your attitude screwing it up. "
20920,Caroline, I compelled the nurse to stay out of this room. You'll be safe here. 
20921,Bill, My wound is completely healed. I need something to eat. 
20922,Caroline," Daddy, why don't you just come lay down and just relax? "
20923,Bill, I can't. I'm too wired and my pulse is racing. It's the effect of my body wanting to transition. 
20924,Caroline," Well, maybe Doctor Fell can give you something. "
20925,Bill, She's done enough. 
20926,Elena, I called your mom. 
20927,Caroline, Thanks. 
20928,Elena," Mr. Forbes, did you see your attacker? "
20929,Bill, I didn't see anything. Tried to sneak out the back exit and someone came up from behind. 
20930,Caroline," Look, we'll figure this out, but in the mean time we need to get you some bl*od. "
20931,Bill, I'm not going to drink any bl*od. 
20932,Elena, You have to. You died with vampire bl*od in your system. If you don't feed and finish the transition into a vampire then you'll die. 
20933,Bill, I understand how it works. And that's what I'm prepared to do. Now get me out of this hospital. I smell bl*od everywhere. 
20934,Elena, What are you doing? 
20935,Alaric, Taking inventory. Did you bring it? 
20936,Elena," You mean, did I steal evidence from a crime scene? Yes. "
20937,Alaric," You're right. It's a match. This is from a crawl space in the foyer. Which means, Meredith knew where it was. "
20938,Elena," That doesn't mean, she stole it. "
20939,Alaric, This is from the loft. These are from the duffel in Damon's car. 
20940,Elena, Identical to the one that k*ll Brian Walters. 
20941,Alaric," Damon's car was at the Wickery-Bridge fundraiser, so was Meredith. And that was the night her ex-boyfriend, the medical examiner, was k*ll. The one who called her psycho. "
20942,Elena," Well, she was trying to save Bill Forbes, why would she turn around and try to k*ll him? "
20943,Alaric," I don't know what to think either. You know, but... we'd be idiots to ignore all these facts. "
20944,Elena, So what should we do? 
20945,Alaric, Well... Get this to the police. Then you should probably be with Caroline. 
20946,Elena," I'm sorry, Ric. Please be careful. "
20947,Elijah," Niklaus, our guests have arrived. "
20948,Klaus," Damon. Stefan. Elijah tells me, you seek an audience. Very bold. Let's discuss the terms of our agreement like civilised men, shall we? "
20949,Elijah, It's better to indulge him. 
20950,Stefan," I didn't come here to eat, Klaus. Fact, I didn't want to come here at all. But I was told, I had to cause you would hear us out. "
20951,Klaus," Well, we can sit and eat or I can reach down your throats and pull out your insides. The choice is yours. "
20952,Damon," Thank you, love. "
20953,Klaus, You lost your appetite. 
20954,Damon, Eat. I thought we agreed that we would leave the grumpy Stefan at home. 
20955,Klaus, That's the spirit. Isn't it nice? Four of us dining together? Such a treat. Is this what you had in mind when you pulled the dagger from my brother? 
20956,Damon," Well, I know how he felt about you, so I figured the more, the merrier. "
20957,Klaus," Well, Elijah and I have had our share of quarrels over the century. But we always make it through. "
20958,Stefan," Kind of like you and Rebekah, right? Where is she, by the way? Last I checked she was still daggered because you were afraid to face her. "
20959,Klaus," If you're referring to the fact that Rebekah knows I k*ll our mother, I've already come clean to Elijah. "
20960,Damon," Hey, Stef, remember when you k*ll dad? Might want to dial down the judgment until dessert. "
20961,Stefan," We're here to make a deal, Damon. Doesn't mean we need to kiss his ass for seven courses. "
20962,Damon, I'm just saying we have a long evening ahead of us. Pace yourself. 
20963,Elena, Did you hear back from Tyler yet? 
20964,Caroline," No. And I've left messages for him everywhere. So, does Alaric really think that Dr. Fell did it? "
20965,Elena, He doesn't know what to think. 
20966,Caroline, What about you? 
20967,Elena," I wish the girl Alaric liked wasn't in the middle of all of this. He deserves to be happy. But yeah, she looks guilty. It's why I told your mom. "
20968,Caroline, My mom's in there sitting with my dad. And I don't think they've been in the same room this long since I was ten years old. Is there any chance that Tyler did it? 
20969,Elena, What? 
20970,Caroline," If Klaus was trying to mess with you and he's sired to Klaus. And, I mean, he does everything that he's told. "
20971,Elena," No... no, I don't think Tyler did it. "
20972,Caroline," I can't just let my father die. You know, I'm... I'm gonna force him to feed. "
20973,Elena," Hey... he doesn't want to, Caroline. The only thing your dad has is his choice. "
20974,Caroline, I hated him so much for what he did to me. So much. Now all I want to do is save his life. 
20975,Elena," Of course you do, he's your dad. "
20976,Caroline, What was the hardest part for you? When you lost your Dad? 
20977,Elena," Realizing all the things that he wouldn't be there for. The things that... that you just need your Dad for, you know? "
20978,Matt, Hey. 
20979,Caroline, Hey. 
20980,Elijah, Stefan. Where is the lovely Elena tonight? 
20981,Stefan, I don't know. Ask Damon. 
20982,Klaus," I'm sorry, you've missed so much. Uh- trouble in paradise. "
20983,Stefan, One more word about Elena and this dinner's over. 
20984,Damon," You know what, probably best just to keep Elena in the do not discuss pile. "
20985,Klaus, You're probably right. 
20986,Damon, Yeah. 
20987,Klaus," It's just the allure of the Petrova doppelgänger, still so strong. What do you say, brother? Should we tell them about Tatia? "
20988,Elijah, Now why should we discuss matters long since resolved? 
20989,Klaus," Well, given their shared affection for both Elena and Katerina, I think our guests might be curious to learn about the originator of the Petrova line. "
20990,Damon," Well, we're not going anywhere Elijah. Please, do tell. "
20991,Elijah," When our family first settled here, there was a girl named Tatia, she was an exquisite beauty. Every boy of age desired to be her suitor, even though she'd had a child by another man. And none loved her more than Niklaus. "
20992,Klaus, I'd say there was one who loved her at least as much. 
20993,Stefan," Wait a minute, so you both loved the same girl? "
20994,Elijah," Our mother was a very powerful witch. She sought to end our feud over Tatia and so she took her. Klaus and I would later learn that it was Tatia's bl*od that we consumed in the wine on the night where our mother performed the spell which turned us into vampires. Tatia wouldn't make a decision between the two of us, so for a time Niklaus and I... grew estranged. Harsh words were traded, we even came to blows, didn't we, brother? "
20995,Klaus, But in the end we realized the sacred bond of family. 
20996,Elijah, Family above all. 
20997,Klaus, Family above all. 
20998,Bonnie, You're not trying! We've been at this for over an hour. 
20999,Abby, The spirits are angry with me. For leaving you. Maybe they didn't want me to have my powers again. 
21000,Bonnie," I had all of those dreams for a reason. The spirits wanted me to find you because your my mom. It's not them, it's you. You won't open yourself up to it. You know, Dad never talked about you? And neither did Grams. I had no memories of you. So you know what I use to pretend? That you were dead. It was easier to do that than to wonder why you never came back for me. "
21001,Abby, There is no way I can tell you how sorry I am for what I did. 
21002,Bonnie, Yes there is. You can help me. 
21003,Bonnie," It almost worked. I have to call Damon, tell him that we're getting closer. I'll be right back. "
21004,Abby, Okay. 
21005,Elijah," So, why don't we move this evening along and discuss the terms of this proposal? "
21006,Damon," That's very simple. Klaus gets his coffin back, in exchange, he and the Original extended family leave Mystic Falls forever. Me, Stefan, and Elena live happily ever after. No grudges. "
21007,Elijah," The deal sounds fair, brother. "
21008,Klaus," I don't think you understand, Elena's doppelgänger bl*od insures that I will always have more hybrids to fight those that oppose me. I will never leave her behind. "
